[14:57:55] [INFO ] server_scripts:quark.js:8: Quark reloaded!
[14:57:55] [INFO ] Loaded script server_scripts:quark.js in 0.02 s
[14:57:55] [INFO ] server_scripts:script.js:8: Hello, World! (You will see this line every time server resources reload)
[14:57:55] [INFO ] Loaded script server_scripts:script.js in 0.001 s
[14:57:55] [INFO ] Loaded 2/2 KubeJS server scripts in 0.048 s
[14:57:55] [INFO ] Scripts loaded
[14:57:55] [INFO ] Scanning recipes...
[14:58:19] [WARN ] Failed to parse recipe 'minecraft:melon[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe minecraft:melon[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe 'minecraft:golden_hoe[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe minecraft:golden_hoe[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe 'minecraft:netherite_hoe[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe minecraft:netherite_hoe[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe 'minecraft:golden_pickaxe[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe minecraft:golden_pickaxe[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe 'minecraft:rail[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe minecraft:rail[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe 'minecraft:diamond_sword[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe minecraft:diamond_sword[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe 'minecraft:wooden_axe[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe minecraft:wooden_axe[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe 'minecraft:diamond_axe[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe minecraft:diamond_axe[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe 'minecraft:torch[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe minecraft:torch[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe 'minecraft:netherite_chestplate[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe minecraft:netherite_chestplate[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe 'minecraft:diamond_helmet[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe minecraft:diamond_helmet[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe 'minecraft:compass[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe minecraft:compass[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe 'minecraft:iron_axe[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe minecraft:iron_axe[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe 'minecraft:flower_pot[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe minecraft:flower_pot[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe 'minecraft:golden_boots[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe minecraft:golden_boots[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe 'minecraft:diamond_shovel[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe minecraft:diamond_shovel[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe 'minecraft:golden_shovel[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe minecraft:golden_shovel[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
